Word,Seq_num,Word Count,Word Proportion,Average Proportion,Std Dev,Doc Count,Negative,Positive,Uncertainty,Litigious,Strong_Modal,Weak_Modal,Constraining,Complexity,Syllables,Source,Keep
ABANDON,10,154158,6.033744568616994e-06,4.8240040165951805e-06,3.2612711814946056e-05,76324,2009,0,0,0,0,0,0,0,3,12of12inf,TRUE
ABANDONED,11,261781,1.0246109101811942e-05,1.0397077668111348e-05,9.077508998172851e-05,115130,2009,0,0,0,0,0,0,0,3,12of12inf,TRUE
ABANDONING,12,22497,8.805326454687821e-07,8.271178376324521e-07,1.1986601851972985e-05,14061,2009,0,0,0,0,0,0,0,4,12of12inf,TRUE
ABANDONMENT,13,315640,1.2354150518547645e-05,1.2114806109495022e-05,8.004858351752568e-05,105107,2009,0,0,0,0,0,0,0,4,12of12inf,TRUE
ABANDONMENTS,14,17224,6.741474101237633e-07,9.126801122087696e-07,2.2337572423294606e-05,7205,2009,0,0,0,0,0,0,0,4,12of12inf,TRUE
ABANDONS,15,7965,3.117501231790394e-07,1.6340174851449396e-07,3.5506612210581454e-06,5708,2009,0,0,0,0,0,0,0,3,12of12inf,TRUE
ABDICATED,52,141,5.518740410325745e-09,3.6419474132904774e-09,5.199746799774813e-07,88,2009,0,0,0,0,0,0,0,4,12of12inf,TRUE
ABDICATES,53,1,3.914000291011166e-11,1.234773542798468e-11,1.366368846524572e-08,1,2009,0,0,0,0,0,0,0,3,12of12inf,TRUE
ABDICATING,54,48,1.87872013968536e-09,1.1251444677798307e-09,2.4141265490720017e-07,36,2009,0,0,0,0,0,0,0,4,12of12inf,TRUE
ABDICATION,55,784,3.0685762281527544e-08,2.0880353248331405e-08,1.4173957585574496e-06,629,2009,0,0,0,0,0,0,0,4,12of12inf,TRUE
ABDICATIONS,56,0,0,0,0,0,2009,0,0,0,0,0,0,0,4,12of12inf,TRUE
ABERRANT,71,2475,9.687150720252637e-08,4.6672981301438235e-08,1.8813843492765014e-06,1662,2009,0,0,0,0,0,0,0,3,12of12inf,TRUE
ABERRATION,72,1176,4.6028643422291317e-08,4.4560667301866734e-08,3.578026587083107e-06,826,2009,0,0,0,0,0,0,0,4,12of12inf,TRUE
ABERRATIONAL,73,106,4.148840308471837e-09,2.940197295823375e-09,5.198510325190936e-07,69,2009,0,0,0,0,0,0,0,5,12of12inf,TRUE
ABERRATIONS,74,2154,8.430756626838053e-08,7.466529726750908e-08,3.261185516835535e-06,1488,2009,0,0,0,0,0,0,0,4,12of12inf,TRUE
ABETTING,80,25719,1.0066417348451619e-06,8.856219526654774e-07,1.8487459586429898e-05,11913,2009,0,0,0,0,0,0,0,3,12of12inf,TRUE
ABEYANCE,83,18959,7.420553151728071e-07,4.5331860728662363e-07,9.792170259920783e-06,7803,0,0,2009,0,0,0,0,0,3,12of12inf,TRUE
ABEYANCES,84,20,7.828000582022332e-10,7.509607843274134e-10,2.666555755139245e-07,19,0,0,2009,0,0,0,0,0,4,12of12inf,TRUE
ABIDE,95,88344,3.4577844170909047e-06,2.116158200250737e-06,1.6290175909403578e-05,53402,0,0,0,0,0,0,2009,0,2,12of12inf,TRUE
ABIDING,98,3672,1.4372209068593004e-07,1.1137401785361409e-07,3.7212527437519586e-06,2922,0,0,0,0,0,0,2009,0,3,12of12inf,TRUE
ABNORMAL,139,74886,2.931038257926622e-06,2.8571988942163787e-06,2.5494433243279316e-05,39304,2009,0,0,0,0,0,0,0,3,12of12inf,TRUE
ABNORMALITIES,140,10889,4.261954916882059e-07,2.8866496369040326e-07,6.806092136605457e-06,6094,2009,0,0,0,0,0,0,0,5,12of12inf,TRUE
ABNORMALITY,141,2467,9.655838717924547e-08,7.852889378022638e-08,3.440472351607398e-06,1656,2009,0,0,0,0,0,0,0,5,12of12inf,TRUE
ABNORMALLY,142,14578,5.705829624236079e-07,5.606253791835825e-07,1.0280750141823817e-05,10856,2009,0,0,0,0,0,0,0,4,12of12inf,TRUE
ABOLISH,146,11846,4.6365247447318275e-07,2.8890285660069944e-07,4.879263472429072e-06,9667,2009,0,0,0,0,0,0,0,3,12of12inf,TRUE
ABOLISHED,147,3335,1.305319097052224e-07,9.680363160791205e-08,3.0580650422441454e-06,2635,2009,0,0,0,0,0,0,0,3,12of12inf,TRUE
ABOLISHES,148,314,1.2289960913775062e-08,1.1644282309419548e-08,1.5208838379038924e-06,275,2009,0,0,0,0,0,0,0,4,12of12inf,TRUE
ABOLISHING,149,661,2.587154192358381e-08,2.4552705226071188e-08,1.5973003916379863e-06,568,2009,0,0,0,0,0,0,0,4,12of12inf,TRUE
ABROGATE,214,6916,2.7069226012633225e-07,1.4040778918780878e-07,3.936978436926007e-06,4289,2009,0,0,2009,0,0,0,0,3,12of12inf,TRUE
ABROGATED,215,2172,8.501208632076254e-08,5.346084727059517e-08,2.7134833516532947e-06,1496,2009,0,0,2009,0,0,0,0,4,12of12inf,TRUE
ABROGATES,216,428,1.675192124552779e-08,1.0454010100032576e-08,1.1605529254346465e-06,283,2009,0,0,2009,0,0,0,0,3,12of12inf,TRUE
ABROGATING,217,487,1.906118141722438e-08,1.2270075030204426e-08,8.709338393601075e-07,433,2009,0,0,2009,0,0,0,0,4,12of12inf,TRUE
ABROGATION,218,1910,7.475740555831328e-08,4.328587142773505e-08,2.182653205696668e-06,1391,2009,0,0,2009,0,0,0,0,4,12of12inf,TRUE
ABROGATIONS,219,2,7.828000582022332e-11,5.9808015301513826e-12,6.618202127593787e-09,1,2009,0,0,2009,0,0,0,0,4,12of12inf,TRUE
